epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.99314,3.75362,3.6361,4.32253,0.00222,0.55046,0.00795,0.00146,4.55769,3.49224,4.15808,0.00024,0.00024,0.00024
2,14.1074,3.51644,3.55402,4.17343,0.0019,0.47248,0.00509,0.00083,4.53725,3.47878,4.14571,0.0004835,0.0004835,0.0004835
3,17.2211,3.25246,3.38509,4.04147,0.00217,0.55046,0.00595,0.00094,4.59191,3.52173,4.17399,0.00070984,0.00070984,0.00070984
4,20.2832,2.94167,3.18367,3.85207,0.00162,0.40367,0.00353,0.00055,4.87352,3.79777,4.42938,0.00091902,0.00091902,0.00091902
5,23.3272,2.76463,3.08003,3.60497,0.00143,0.35321,0.00423,0.00058,4.95478,3.99224,4.51426,0.00111104,0.00111104,0.00111104
6,26.395,2.74816,3.01952,3.43545,0.00164,0.38532,0.00457,0.00067,4.82673,3.65095,4.42935,0.0012859,0.0012859,0.0012859
7,29.3445,2.65133,2.80818,3.2934,0.00171,0.38991,0.00767,0.00097,4.98439,3.97218,4.5542,0.0014436,0.0014436,0.0014436
8,32.3302,2.58119,2.76336,3.18476,0.33045,0.46789,0.33764,0.09773,2.71771,2.63669,3.30252,0.001538,0.001538,0.001538
9,35.2644,2.56055,2.74619,3.12832,0.40088,0.50917,0.36246,0.11874,2.45356,2.55983,3.21103,0.001472,0.001472,0.001472
10,38.2604,2.54279,2.64559,3.08607,0.42575,0.53211,0.42639,0.14868,2.37243,4.07594,3.19278,0.001406,0.001406,0.001406
11,41.2565,2.45271,2.60925,3.03699,0.37204,0.44954,0.3619,0.12841,2.41081,2.66277,3.05807,0.00134,0.00134,0.00134
12,44.3873,2.44818,2.54921,2.99423,0.50219,0.67431,0.56687,0.19539,2.28064,2.49741,2.85062,0.001274,0.001274,0.001274
13,47.3786,2.40164,2.45636,2.95737,0.40596,0.40826,0.37521,0.14577,2.25405,2.32658,2.71937,0.001208,0.001208,0.001208
14,50.3713,2.4298,2.45349,2.95868,0.29964,0.46905,0.28264,0.08418,2.44782,2.43566,2.83936,0.001142,0.001142,0.001142
15,53.2673,2.39126,2.31304,2.9192,0.57104,0.63303,0.54495,0.19665,2.24397,1.94764,2.69666,0.001076,0.001076,0.001076
16,56.1997,2.28911,2.27337,2.84301,0.62183,0.64868,0.56512,0.1681,2.36441,1.99066,2.77554,0.00101,0.00101,0.00101
17,59.0875,2.2898,2.23059,2.825,0.67381,0.62844,0.59235,0.18485,2.2904,2.07276,2.74202,0.000944,0.000944,0.000944
18,62.0336,2.18293,2.14898,2.77538,0.54762,0.53211,0.46069,0.13653,2.34021,2.20996,2.77142,0.000878,0.000878,0.000878
19,65.0032,2.22322,2.1592,2.81763,0.66761,0.62652,0.64832,0.28729,2.16786,1.80674,2.62538,0.000812,0.000812,0.000812
20,67.9692,2.16329,2.11259,2.75364,0.73944,0.65596,0.6989,0.23189,2.24743,1.95967,2.64602,0.000746,0.000746,0.000746
21,95.1697,1.97312,2.39172,2.48648,0.83546,0.71101,0.8155,0.36939,2.00996,1.70125,2.46541,0.00068,0.00068,0.00068
22,98.153,1.81997,2.03814,2.38223,0.89565,0.75229,0.84795,0.46504,1.85416,1.63198,2.3519,0.000614,0.000614,0.000614
23,101.089,1.80507,2.04277,2.34216,0.87884,0.69873,0.80805,0.29265,2.14865,1.72593,2.6474,0.000548,0.000548,0.000548
24,104.066,1.70401,1.91429,2.29049,0.93356,0.83796,0.89157,0.54141,1.62431,1.39768,2.18916,0.000482,0.000482,0.000482
25,107.077,1.6061,1.78658,2.19673,0.96914,0.86424,0.90472,0.50042,1.65729,1.31946,2.19754,0.000416,0.000416,0.000416
26,110.065,1.62067,1.81632,2.20711,0.95951,0.86953,0.90215,0.55776,1.53508,1.30889,2.13814,0.00035,0.00035,0.00035
27,113.061,1.53806,1.72198,2.13257,0.93118,0.86893,0.91003,0.50657,1.65503,1.32352,2.27096,0.000284,0.000284,0.000284
28,115.985,1.53757,1.65216,2.15067,0.95388,0.88073,0.91528,0.52308,1.55718,1.22884,2.15501,0.000218,0.000218,0.000218
29,118.923,1.52105,1.61357,2.09787,0.96423,0.86549,0.91489,0.51917,1.56909,1.23497,2.13124,0.000152,0.000152,0.000152
30,121.891,1.4456,1.54006,2.04561,0.95975,0.86239,0.91372,0.51986,1.58082,1.20698,2.12323,8.6e-05,8.6e-05,8.6e-05
